编号,昵称,军衔,工位,毛色,特征描述,代表照片文件,照片数量,出没区域,关联照片编号,置信度,备注
CAT-001,墩墩,喵校长,总揽全校猫务,全橘虎斑,体型胖粉鼻 侧躺露肚 人摸不醒 气场十足,微信图片_20260812143555_100_56.jpg,1,宿舍楼玻璃门前石台,812批:100,高,全校地位最高 正脸A级
CAT-002,格子,中士,宿舍内务员,橘白,橘头橘背白胸腹 体型中等偏瘦 常钻红白格桌布下,50E8904B46C698659B377B114F19A118.jpg,3,宿舍红白格桌布区域,hash:0FEE;50E8;FF47,高,同场景连拍确认
CAT-003,围脖,少校,窗台哨长,橘白,头顶橘斑中分 白围脖白手套 偏胖 爱趴窗台晒太阳,5828C42C0CB0C2C7244529762D44D4D9.jpg,5,宿舍窗台,hash:5828;CDC0;62F0;A4A8;A8F7,中,桌下组与窗台组为合并推断 待用户确认
CAT-004,环尾,中尉,高台瞭望员,全橘虎斑,粗尾橘色环纹明显 体型胖 前爪尖偏白 爱趴高处,微信图片_20260812143555_121_56.jpg,2,室外白色高台沿,812批:121;122,高,连拍确认
CAT-005,松果,下士,绿化带潜伏员,全橘虎斑,常在松柏树下碎石区闭眼趴卧,微信图片_20260812143555_148_56.jpg,2,松柏树下绿化带,812批:148;149,高,连拍确认
CAT-006,天线,上尉,窗台通讯员,全橘/浅橘,胸前挂一截白色线状物 辨识度极高 趴台沿探头,微信图片_20260812143555_154_56.jpg,2,建筑物窗台/柜台沿,812批:153;154,高,正脸A级 挂白线为标志性特征
CAT-007,奶油,中士,挑檐巡逻兵,浅橘(奶油色)虎斑,浅橘细条纹 黄眼粉鼻 爱趴高处台沿,微信图片_20260816233805_66_184.jpg,8,楼道横梁/红墙建筑区石台,812批:103;104;109;补33805:66;67;68;70;71,中高,补充批5张并入(奶油细虎斑黄眼粉鼻吻合) 102疑似同组未计入
CAT-008,喇叭,列兵,宣传干事,橘白,偏瘦青年猫 耳大 仰卧露肚爱叫,微信图片_20260812143555_110_56.jpg,1,白墙黑砖地面区域,812批:110,高,正脸A级
CAT-009,粉鼻,列兵,水泥地巡查,橘白虎斑,粉鼻白嘴 白胸腹白手套 侧躺,微信图片_20260812143555_95_56.jpg,1,白天水泥砖地面,812批:95,高,
CAT-010,项圈,中士,人行道纠察,橘白短毛,白颈圈白腿白尾尖 爱蜷睡草地,微信图片_20260812143555_152_56.jpg,4,草地/盲道人行道,812批:141;142;151;152,中,两组连拍合并推断
CAT-011,螺栓,下士,车库技师,橘白短毛,橘虎斑背 白手套白靴鼻周白 出现在灰色油漆地面(似车库),微信图片_20260816232105_99_39.jpg,2,室内车库/圆形井盖,816批:99;补35021:100,中高,井盖侧卧照疑同只(橘背白胸白爪吻合)待确认
CAT-012,雪顶,中尉,夜间车管,长毛橘白,主体白色蓬松 头顶耳部及尾巴橘色 夜间出现在车顶/路边广告牌,微信图片_20260812143555_162_56.jpg,3,车顶/路边广告牌,812批:96;161;162,中,跨日夜场景合并推断 待确认
CAT-013,课代表,少校,教学督导,长毛橘白,橘背橘头白胸 大尾巴极蓬松 体型壮 上过教室课桌,微信图片_20260812143555_138_56.jpg,5,石花坛边/教室课桌,812批:126;127;128;137;138,中,花坛组与教室组合并推断 待确认
CAT-014,拖把,中士,夜间游荡,全橘长毛,长毛蓬松尾粗大 体型较大,微信图片_20260812143555_84_56.jpg,4,夜间砖石路面/白毯休息区,812批:84猫1;补35021:86;88;90,中高,白毯组3张疑同只(全橘长毛蓬松)待确认
CAT-015,大厅,列兵,大厅巡逻,狸花,体型偏小青年猫 爱趴室内白色抛光瓷砖,13951BEAD8371B46AB8351276772BF48.jpg,2,教学楼/食堂大厅白瓷砖,hash:1395;E4F7,高,同场景连拍
CAT-016,锦鲤,上士,外墙粉刷班长,彩狸(狸花腹泛橘),腹部四肢泛橘罕见 黑尾 尾尖黑 后爪白,812ECF0BC693511417B88A2F552872A8.jpg,2,白色矮墙/水泥路,hash:812E;812批:87,中,彩狸特征跨照合并
CAT-017,略略,中士,门口接待员,狸花白,深狸花背白围脖白手套 吐舌舔鼻 体型胖,A66981CEBAA620A95058D1FC12A73A2E.jpg,3,建筑物入口地垫/花岗岩,hash:A669;812批:86;133,中,吐舌照为正脸A级
